,Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
0,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,2/25/2020,8.0,287902.656627767,
1,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,2/26/2020,5.0,287902.656627767,
2,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,2/27/2020,4.0,287902.656627767,
3,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,2/28/2020,1.0,287902.656627767,
4,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,2/29/2020,8.0,287902.656627767,
5,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/1/2020,3.0,287902.656627767,
6,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/2/2020,2.0,287902.656627767,
7,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/3/2020,5.0,287902.656627767,
8,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/4/2020,6.0,287902.656627767,
9,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/5/2020,8.0,287902.656627767,
10,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/6/2020,3.0,287902.656627767,
11,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/7/2020,5.0,287902.656627767,
12,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/8/2020,1.0,287902.656627767,
13,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/9/2020,18.0,2.0,
14,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/10/2020,37.0,10.0,
15,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/11/2020,43.0,12.0,1.0
16,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/12/2020,141.0,23.0,1.0
17,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/13/2020,159.0,33.0,1.0
18,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/14/2020,48.0,38.0,1.0
19,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/15/2020,27.0,42.0,1.0
20,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/16/2020,31.0,51.0,1.0
21,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/17/2020,42.0,55.0,1.0
22,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/18/2020,60.0,59.0,2.0
23,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/19/2020,32.0,64.0,2.0
24,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/20/2020,35.0,70.0,2.0
25,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/21/2020,46.0,76.0,2.0
26,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/22/2020,33.0,89.0,2.0
27,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/23/2020,,104.0,4.0
28,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/24/2020,,123.0,5.0
29,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/25/2020,111.0,146.0,5.0
30,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/26/2020,103.0,174.0,6.0
31,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/27/2020,102.0,186.0,8.0
32,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/28/2020,79.0,197.0,10.0
33,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/29/2020,111.0,212.0,10.0
34,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/30/2020,90.0,223.0,11.0
35,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/31/2020,145.0,243.0,15.0
36,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/1/2020,152.0,259.0,15.0
37,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/2/2020,96.0,277.0,16.0
38,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/3/2020,112.0,304.0,17.0
39,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/4/2020,216.0,333.0,20.0
40,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/5/2020,149.0,361.0,20.0
41,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/6/2020,175.0,377.0,21.0
42,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/7/2020,182.0,383.0,22.0
43,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/8/2020,236.0,400.0,22.0
44,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/9/2020,234.0,409.0,23.0
45,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/10/2020,162.0,416.0,23.0
46,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/11/2020,259.0,433.0,23.0
47,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/12/2020,233.0,446.0,23.0
48,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/13/2020,193.0,467.0,23.0
49,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/14/2020,236.0,475.0,24.0
50,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/15/2020,252.0,494.0,25.0
51,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/16/2020,269.0,518.0,26.0
52,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/17/2020,253.0,539.0,26.0
53,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/18/2020,231.0,548.0,26.0
54,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/19/2020,231.0,562.0,26.0
55,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/20/2020,233.0,584.0,26.0
56,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/21/2020,242.0,609.0,26.0
57,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/22/2020,252.0,634.0,27.0
58,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/23/2020,240.0,663.0,27.0
59,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/24/2020,259.0,678.0,27.0
60,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/25/2020,247.0,712.0,27.0
61,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/26/2020,264.0,726.0,28.0
62,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/27/2020,212.0,736.0,28.0
63,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/28/2020,267.0,750.0,30.0
64,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/29/2020,270.0,766.0,30.0
65,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,4/30/2020,225.0,773.0,31.0
66,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/1/2020,245.0,782.0,31.0
67,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/2/2020,171.0,789.0,31.0
68,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/3/2020,197.0,795.0,31.0
69,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/4/2020,140.0,803.0,31.0
70,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/5/2020,270.0,820.0,31.0
71,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/6/2020,255.0,832.0,31.0
72,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/7/2020,275.0,842.0,31.0
73,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/8/2020,238.0,850.0,31.0
74,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/9/2020,224.0,856.0,31.0
75,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/10/2020,170.0,868.0,31.0
76,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/11/2020,121.0,872.0,31.0
77,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/12/2020,243.0,876.0,31.0
78,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/13/2020,246.0,880.0,31.0
79,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/14/2020,191.0,898.0,31.0
80,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/15/2020,219.0,916.0,31.0
81,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/16/2020,306.0,933.0,31.0
82,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/17/2020,260.0,946.0,31.0
83,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/18/2020,168.0,948.0,31.0
84,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/19/2020,177.0,949.0,31.0
85,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/20/2020,186.0,964.0,31.0
86,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/21/2020,204.0,969.0,31.0
87,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/22/2020,174.0,981.0,31.0
88,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/23/2020,200.0,989.0,31.0
89,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/24/2020,146.0,998.0,32.0
90,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/25/2020,54.0,1004.0,32.0
91,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/26/2020,173.0,1029.0,33.0
92,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/27/2020,262.0,1050.0,33.0
93,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/28/2020,225.0,1076.0,33.0
94,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/29/2020,276.0,1099.0,33.0
95,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/30/2020,229.0,1122.0,33.0
96,Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,5/31/2020,225.0,1137.0,33.0
